landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
107C_15;107C;2015;8;enclos;107C_15_enclos;dry;dry_107C_15_enclos;28;-1.880168;12.313636;22;6;0.907535294;50;50;0.241;0.244;17;0.281
107C_15;107C;2015;8;open;107C_15_open;dry;dry_107C_15_open;27;-1.878214;12.311769;10;4;0.610864302;0;0;0.236;0.244;17;0.281
107C_15;107C;2015;8;woody;107C_15_woody;dry;dry_107C_15_woody;22;-1.877597;12.313621;19;10;1.090867279;10;10;0.322;0.244;17;0.281
110C_15;110C;2015;8;enclos;110C_15_enclos;dry;dry_110C_15_enclos;28;-1.779091;12.560464;65;10;1.28795308;0;0;0.253;0.161;83;0.26
110C_15;110C;2015;8;open;110C_15_open;dry;dry_110C_15_open;19;-1.781824;12.558482;14;6;1.116367075;0;0;0.155;0.161;83;0.26
110C_15;110C;2015;8;woody;110C_15_woody;dry;dry_110C_15_woody;22;-1.780242;12.558293;32;6;0.233791659;0;0;0.157;0.161;83;0.26
113C_15;113C;2015;8;enclos;113C_15_enclos;dry;dry_113C_15_enclos;24;-1.412166;12.736937;28;7;1.245243249;50;50;0.282;0.204;59;0.326
113C_15;113C;2015;8;open;113C_15_open;dry;dry_113C_15_open;20;-1.411501;12.734766;7;7;1.078992208;0;0;0.198;0.204;59;0.326
113C_15;113C;2015;8;woody;113C_15_woody;dry;dry_113C_15_woody;20;-1.409348;12.735905;25;11;1.217598842;0;0;0.294;0.204;59;0.326
114C_15;114C;2015;8;enclos;114C_15_enclos;dry;dry_114C_15_enclos;25;-1.410829;12.722137;18;8;1.167937368;60;50;0.321;0.227;20;0.283
114C_15;114C;2015;8;open;114C_15_open;dry;dry_114C_15_open;19;-1.408464;12.724743;7;6;0.598269589;0;0;0.197;0.227;20;0.283
114C_15;114C;2015;8;woody;114C_15_woody;dry;dry_114C_15_woody;18;-1.411793;12.724502;3;3;0.636514168;10;10;0.206;0.227;20;0.283
117C_16;117C;2016;7;enclos;117C_16_enclos;dry;dry_117C_16_enclos;28;-1.523844;12.636158;50;10;1.234877561;40;20;0.256;0.226;0;0.282
117C_16;117C;2016;7;open;117C_16_open;dry;dry_117C_16_open;13;-1.524634;12.638171;7;3;1.004242473;0;0;0.11;0.226;0;0.282
117C_16;117C;2016;7;woody;117C_16_woody;dry;dry_117C_16_woody;18;-1.522573;12.637567;60;8;1.067738859;10;10;0.223;0.226;0;0.282
11C_05;11C;2005;18;enclos;11C_05_enclos;dry;dry_11C_05_enclos;26;-1.739772;12.541312;48;9;1.222839477;10;10;0.294;0.194;94;0.278
