"","species_sci","habitat","Npres","Nabs","landscape_id","season","Nabs.interv"
"1","Camaroptera brachyura","enclos",10,10,"107C_15","dry",8
"2","Caprimulgus climacurus","enclos",3,17,"107C_15","dry",5
"3","Centropus senegalensis","enclos",4,16,"107C_15","dry",14
"4","Cinnyris pulchellus","enclos",2,18,"107C_15","dry",13
"5","Cisticola cantans","enclos",10,10,"107C_15","dry",6
"6","Cossypha niveicapilla","enclos",2,18,"107C_15","dry",14
"7","Crithagra mozambica","enclos",1,19,"107C_15","dry",17
"8","Estrilda troglodytes","enclos",1,19,"107C_15","dry",14
"9","Laniarius barbarus","enclos",5,15,"107C_15","dry",12
"10","Lanius corvinus","enclos",2,18,"107C_15","dry",18
"11","Lophoceros nasutus","enclos",2,18,"107C_15","dry",15
"12","Lybius vieilloti","enclos",1,19,"107C_15","dry",13
"13","Oriolus auratus","enclos",3,17,"107C_15","dry",10
"14","Passer griseus","enclos",4,16,"107C_15","dry",16
"15","Ploceus sp.","enclos",6,14,"107C_15","dry",10
"16","Pogoniulus chrysoconus","enclos",12,8,"107C_15","dry",3
"17","Poicephalus senegalus","enclos",3,17,"107C_15","dry",14
"18","Prinia subflava","enclos",6,14,"107C_15","dry",10
"19","Pternistis bicalcaratus","enclos",3,17,"107C_15","dry",17
"20","Ptilopsis leucotis","enclos",1,19,"107C_15","dry",4
"21","Pycnonotus barbatus","enclos",11,9,"107C_15","dry",6
"22","Spilopelia senegalensis","enclos",11,9,"107C_15","dry",9
"23","Streptopelia vinacea","enclos",10,10,"107C_15","dry",10
"24","Tchagra senegalus","enclos",3,17,"107C_15","dry",15
"25","Turdoides plebejus","enclos",1,19,"107C_15","dry",14
"26","Turtur abyssinicus","enclos",2,18,"107C_15","dry",18
"27","Uraeginthus bengalus","enclos",6,14,"107C_15","dry",10
"28","Bubalornis albirostris","enclos",0,20,"107C_15","dry",20
"29","Dicrurus divaricatus","enclos",0,20,"107C_15","dry",18
"30","Eremomela pusilla","enclos",0,20,"107C_15","dry",16
"31","Glaucestrilda caerulescens","enclos",0,20,"107C_15","dry",14
